регион,уровень,год,количество_квартир
Пензенская область,регион,2004,3539
Самарская область,регион,2004,9236
Саратовская область,регион,2004,5238
Ульяновская область,регион,2004,1785
Уральский федеральный округ,федеральный_округ,2004,41306
Курганская область,регион,2004,1271
Свердловская область,регион,2004,10770
Тюменская область,регион,2004,19352
Ханты-Мансийский автономный округ - Югра,регион,2004,10788
Ямало-Ненецкий автономный округ,регион,2004,2434
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),регион,2004,6130
Челябинская область,регион,2004,9913
Сибирский федеральный округ,федеральный_округ,2004,45292
Республика Алтай,регион,2004,670
Республика Тыва,регион,2004,282
Республика Хакасия,регион,2004,1025
Алтайский край,регион,2004,3776
Красноярский край,регион,2004,8629
Иркутская область,регион,2004,2864
Кемеровская область,регион,2004,7712
Новосибирская область,регион,2004,9092
Омская область,регион,2004,6707
Томская область,регион,2004,4535
Дальневосточный федеральный округ,федеральный_округ,2004,14695
Республика Бурятия,регион,2004,2308
Республика Саха (Якутия),регион,2004,3394
Забайкальский край,регион,2004,1962
Камчатский край,регион,2004,146
Приморский край,регион,2004,2284
Хабаровский край,регион,2004,2402
Амурская область,регион,2004,1058
Магаданская область,регион,2004,69
Сахалинская область,регион,2004,485
Еврейская автономная область,регион,2004,191
Чукотский автономный округ,регион,2004,396
Российская Федерация,страна,2005,515304
Центральный федеральный округ,федеральный_округ,2005,175892
Белгородская область,регион,2005,9624
Брянская область,регион,2005,2111
Владимирская область,регион,2005,4306
Воронежская область,регион,2005,9943
Ивановская область,регион,2005,1176
Калужская область,регион,2005,3060
Костромская область,регион,2005,1513
Курская область,регион,2005,3999
Липецкая область,регион,2005,5761
Московская область,регион,2005,49217
Орловская область,регион,2005,3333
Рязанская область,регион,2005,3806
Смоленская область,регион,2005,3741
Тамбовская область,регион,2005,3545
Тверская область,регион,2005,3228
Тульская область,регион,2005,2173
Ярославская область,регион,2005,2852
Город Москва,регион,2005,62504
Северо-Западный федеральный округ,федеральный_округ,2005,55131
Республика Карелия,регион,2005,1119
Республика Коми,регион,2005,2854
Архангельская область,регион,2005,1668
Ненецкий автономный округ,регион,2005,466
Вологодская область,регион,2005,4306
Калининградская область,регион,2005,2843
Ленинградская область,регион,2005,5328
Мурманская область,регион,2005,116
Новгородская область,регион,2005,2253
Псковская область,регион,2005,1454
Город Санкт-Петербург,регион,2005,33190
Южный федеральный округ,федеральный_округ,2005,42080
Республика Адыгея (Адыгея),регион,2005,611
Республика Калмыкия,регион,2005,484
Краснодарский край,регион,2005,17636
Астраханская область,регион,2005,4660
Волгоградская область,регион,2005,5623
Ростовская область,регион,2005,13066
Северо-Кавказский федеральный округ,федеральный_округ,2005,16994
Республика Дагестан,регион,2005,5873
Республика Ингушетия,регион,2005,306
Кабардино-Балкарская Республика,регион,2005,1750
Карачаево-Черкесская Республика,регион,2005,521
Республика Северная Осетия-Алания,регион,2005,1250
Чеченская Республика,регион,2005,453
Ставропольский край,регион,2005,6841
Приволжский федеральный округ,федеральный_округ,2005,106165
Республика Башкортостан,регион,2005,19395
Республика Марий Эл,регион,2005,2131
Республика Мордовия,регион,2005,2214
Республика Татарстан (Татарстан),регион,2005,16674
Удмуртская Республика,регион,2005,4080
Чувашская Республика - Чувашия,регион,2005,8035
Пермский край,регион,2005,8821
Кировская область,регион,2005,3737
Нижегородская область,регион,2005,8937
Оренбургская область,регион,2005,5495
