регион,уровень,год,количество_квартир
Рязанская область,регион,2016,10993
Смоленская область,регион,2016,7827
Тамбовская область,регион,2016,7466
Тверская область,регион,2016,7872
Тульская область,регион,2016,9011
Ярославская область,регион,2016,12383
Город Москва,регион,2016,51483
Северо-Западный федеральный округ,федеральный_округ,2016,157225
Республика Карелия,регион,2016,5094
Республика Коми,регион,2016,4785
Архангельская область,регион,2016,5283
Ненецкий автономный округ,регион,2016,282
Архангельская область (кроме Ненецкого автономного округа),регион,2016,5001
Вологодская область,регион,2016,13682
Калининградская область,регион,2016,17329
Ленинградская область,регион,2016,42589
Мурманская область,регион,2016,945
Новгородская область,регион,2016,5555
Псковская область,регион,2016,4542
Город Санкт-Петербург,регион,2016,57421
Южный федеральный округ,федеральный_округ,2016,122376
Республика Адыгея (Адыгея),регион,2016,3277
Республика Калмыкия,регион,2016,884
Республика Крым,регион,2016,3248
Краснодарский край,регион,2016,63922
Астраханская область,регион,2016,6759
Волгоградская область,регион,2016,10557
Ростовская область,регион,2016,30025
Город Севастополь,регион,2016,3705
Северо-Кавказский федеральный округ,федеральный_округ,2016,47944
Республика Дагестан,регион,2016,13213
Республика Ингушетия,регион,2016,2762
Кабардино-Балкарская Республика,регион,2016,3785
Карачаево-Черкесская Республика,регион,2016,1312
Республика Северная Осетия-Алания,регион,2016,2336
Чеченская Республика,регион,2016,8667
Ставропольский край,регион,2016,15868
Приволжский федеральный округ,федеральный_округ,2016,233176
Республика Башкортостан,регион,2016,33980
Республика Марий Эл,регион,2016,7322
Республика Мордовия,регион,2016,4399
Республика Татарстан (Татарстан),регион,2016,33357
Удмуртская Республика,регион,2016,11060
Чувашская Республика - Чувашия,регион,2016,9910
Пермский край,регион,2016,17574
Кировская область,регион,2016,12765
Нижегородская область,регион,2016,19142
Оренбургская область,регион,2016,14171
Пензенская область,регион,2016,12058
Самарская область,регион,2016,27298
Саратовская область,регион,2016,17530
Ульяновская область,регион,2016,12610
Уральский федеральный округ,федеральный_округ,2016,99087
Курганская область,регион,2016,3899
Свердловская область,регион,2016,30658
Тюменская область,регион,2016,43916
Ханты-Мансийский автономный округ - Югра,регион,2016,11879
Ямало-Ненецкий автономный округ,регион,2016,4199
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),регион,2016,27838
Челябинская область,регион,2016,20615
Сибирский федеральный округ,федеральный_округ,2016,130794
Республика Алтай,регион,2016,1855
Республика Тыва,регион,2016,1303
Республика Хакасия,регион,2016,3255
Алтайский край,регион,2016,11802
Красноярский край,регион,2016,24516
Иркутская область,регион,2016,14694
Кемеровская область,регион,2016,16758
Новосибирская область,регион,2016,37085
Омская область,регион,2016,12264
Томская область,регион,2016,7262
Дальневосточный федеральный округ,федеральный_округ,2016,41969
Республика Бурятия,регион,2016,5707
Республика Саха (Якутия),регион,2016,9696
Забайкальский край,регион,2016,4306
Камчатский край,регион,2016,897
Приморский край,регион,2016,6748
Хабаровский край,регион,2016,5014
Амурская область,регион,2016,3901
Магаданская область,регион,2016,81
Сахалинская область,регион,2016,4335
Еврейская автономная область,регион,2016,1231
Чукотский автономный округ,регион,2016,53
Российская Федерация,страна,2017,1138997
Центральный федеральный округ,федеральный_округ,2017,331105
Белгородская область,регион,2017,12721
Брянская область,регион,2017,9076
Владимирская область,регион,2017,8250
Воронежская область,регион,2017,24356
Ивановская область,регион,2017,4148
Калужская область,регион,2017,11590
Костромская область,регион,2017,4424
Курская область,регион,2017,8110
Липецкая область,регион,2017,8576
Московская область,регион,2017,129498
Орловская область,регион,2017,3837
Рязанская область,регион,2017,9703
Смоленская область,регион,2017,6328
Тамбовская область,регион,2017,6863
Тверская область,регион,2017,9171
Тульская область,регион,2017,9738
Ярославская область,регион,2017,11049
Город Москва,регион,2017,53667
Северо-Западный федеральный округ,федеральный_округ,2017,166931
Республика Карелия,регион,2017,3751
Республика Коми,регион,2017,3693
Архангельская область,регион,2017,6393
Ненецкий автономный округ,регион,2017,379
Архангельская область (кроме Ненецкого автономного округа),регион,2017,6014
Вологодская область,регион,2017,9086
Калининградская область,регион,2017,12944
Ленинградская область,регион,2017,53985
Мурманская область,регион,2017,1226
Новгородская область,регион,2017,3379
Псковская область,регион,2017,2965
Город Санкт-Петербург,регион,2017,69508
Южный федеральный округ,федеральный_округ,2017,131657
Республика Адыгея (Адыгея),регион,2017,4192
Республика Калмыкия,регион,2017,1184
Республика Крым,регион,2017,7955
Краснодарский край,регион,2017,69594
Астраханская область,регион,2017,5442
Волгоградская область,регион,2017,10383
Ростовская область,регион,2017,30592
Город Севастополь,регион,2017,2315
Северо-Кавказский федеральный округ,федеральный_округ,2017,47234
Республика Дагестан,регион,2017,16194
Республика Ингушетия,регион,2017,2638
Кабардино-Балкарская Республика,регион,2017,4009
Карачаево-Черкесская Республика,регион,2017,2295
Республика Северная Осетия-Алания,регион,2017,2587
Чеченская Республика,регион,2017,7680
Ставропольский край,регион,2017,11831
Приволжский федеральный округ,федеральный_округ,2017,220782
Республика Башкортостан,регион,2017,32401
Республика Марий Эл,регион,2017,7653
Республика Мордовия,регион,2017,4565
Республика Татарстан (Татарстан),регион,2017,32694
Удмуртская Республика,регион,2017,10005
Чувашская Республика - Чувашия,регион,2017,10121
Пермский край,регион,2017,16420
Кировская область,регион,2017,8975
Нижегородская область,регион,2017,18748
Оренбургская область,регион,2017,12687
Пензенская область,регион,2017,10445
Самарская область,регион,2017,28894
Саратовская область,регион,2017,15930
Ульяновская область,регион,2017,11245
Уральский федеральный округ,федеральный_округ,2017,95509
Курганская область,регион,2017,4459
Свердловская область,регион,2017,30651
Тюменская область,регион,2017,38549
Ханты-Мансийский автономный округ - Югра,регион,2017,13058
Ямало-Ненецкий автономный округ,регион,2017,4548
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),регион,2017,20943
Челябинская область,регион,2017,21851
Сибирский федеральный округ,федеральный_округ,2017,106816
Республика Алтай,регион,2017,1842
Республика Тыва,регион,2017,1336
Республика Хакасия,регион,2017,3702
Алтайский край,регион,2017,10107
Красноярский край,регион,2017,17892
Иркутская область,регион,2017,17160
Кемеровская область,регион,2017,14352
Новосибирская область,регион,2017,26181
Омская область,регион,2017,6662
Томская область,регион,2017,7582
Дальневосточный федеральный округ,федеральный_округ,2017,38873
Республика Бурятия,регион,2017,4895
Республика Саха (Якутия),регион,2017,10870
Забайкальский край,регион,2017,4176
Камчатский край,регион,2017,828
Приморский край,регион,2017,5419
Хабаровский край,регион,2017,3766
Амурская область,регион,2017,3357
Магаданская область,регион,2017,86
Сахалинская область,регион,2017,4596
Еврейская автономная область,регион,2017,806
Чукотский автономный округ,регион,2017,74
Российская Федерация,страна,2018,1075741
Центральный федеральный округ,федеральный_округ,2018,319995
Белгородская область,регион,2018,11910
Брянская область,регион,2018,6122
Владимирская область,регион,2018,7601
Воронежская область,регион,2018,22013
Ивановская область,регион,2018,4562
Калужская область,регион,2018,10770
Костромская область,регион,2018,2465
Курская область,регион,2018,7046
Липецкая область,регион,2018,7853
Московская область,регион,2018,127073
Орловская область,регион,2018,4075
Рязанская область,регион,2018,12043
Смоленская область,регион,2018,3898
Тамбовская область,регион,2018,7717
Тверская область,регион,2018,6409
Тульская область,регион,2018,9486
Ярославская область,регион,2018,10408
Город Москва,регион,2018,58544
Северо-Западный федеральный округ,федеральный_округ,2018,172529
Республика Карелия,регион,2018,4451
Республика Коми,регион,2018,4722
Архангельская область,регион,2018,4566
Ненецкий автономный округ,регион,2018,257
Архангельская область (кроме Ненецкого автономного округа),регион,2018,4309
Вологодская область,регион,2018,8335
Калининградская область,регион,2018,13549
Ленинградская область,регион,2018,50954
Мурманская область,регион,2018,500
Новгородская область,регион,2018,3578
Псковская область,регион,2018,3700
Город Санкт-Петербург,регион,2018,78174
Южный федеральный округ,федеральный_округ,2018,124632
Республика Адыгея (Адыгея),регион,2018,2905
Республика Калмыкия,регион,2018,873
Республика Крым,регион,2018,8896
Краснодарский край,регион,2018,65821
Астраханская область,регион,2018,3634
Волгоградская область,регион,2018,7895
Ростовская область,регион,2018,31938
Город Севастополь,регион,2018,2670
Северо-Кавказский федеральный округ,федеральный_округ,2018,37216
Республика Дагестан,регион,2018,9145
Республика Ингушетия,регион,2018,2108
Кабардино-Балкарская Республика,регион,2018,3713
Карачаево-Черкесская Республика,регион,2018,1955
Республика Северная Осетия-Алания,регион,2018,2862
Чеченская Республика,регион,2018,4812
Ставропольский край,регион,2018,12621
Приволжский федеральный округ,федеральный_округ,2018,202474
Республика Башкортостан,регион,2018,30611
Республика Марий Эл,регион,2018,4821
Республика Мордовия,регион,2018,4070
Республика Татарстан (Татарстан),регион,2018,32658
Удмуртская Республика,регион,2018,10893
Чувашская Республика - Чувашия,регион,2018,10447
Пермский край,регион,2018,16188
Кировская область,регион,2018,8574
Нижегородская область,регион,2018,17448
Оренбургская область,регион,2018,11924
Пензенская область,регион,2018,7595
Самарская область,регион,2018,24633
Саратовская область,регион,2018,12288
Ульяновская область,регион,2018,10324
Уральский федеральный округ,федеральный_округ,2018,87626
Курганская область,регион,2018,3089
Свердловская область,регион,2018,29732
Тюменская область,регион,2018,33156
Ханты-Мансийский автономный округ - Югра,регион,2018,9200
Ямало-Ненецкий автономный округ,регион,2018,3122
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),регион,2018,20834
Челябинская область,регион,2018,21649
Сибирский федеральный округ,федеральный_округ,2018,97611
Республика Алтай,регион,2018,1357
Республика Тыва,регион,2018,1223
Республика Хакасия,регион,2018,2236
Алтайский край,регион,2018,12906
Красноярский край,регион,2018,18067
Иркутская область,регион,2018,13474
Кемеровская область,регион,2018,8861
Новосибирская область,регион,2018,24986
Омская область,регион,2018,7867
Томская область,регион,2018,6634
Дальневосточный федеральный округ,федеральный_округ,2018,33405
Республика Бурятия,регион,2018,4191
Республика Саха (Якутия),регион,2018,8372
Забайкальский край,регион,2018,2556
Камчатский край,регион,2018,339
Приморский край,регион,2018,7135
Хабаровский край,регион,2018,3903
Амурская область,регион,2018,2784
Магаданская область,регион,2018,43
Сахалинская область,регион,2018,3690
Еврейская автономная область,регион,2018,359
Чукотский автономный округ,регион,2018,34
Российская Федерация,страна,2019,1120333
Центральный федеральный округ,федеральный_округ,2019,331310
Белгородская область,регион,2019,12524
Брянская область,регион,2019,5669
Владимирская область,регион,2019,7439
Воронежская область,регион,2019,25332
Ивановская область,регион,2019,3543
Калужская область,регион,2019,9211
Костромская область,регион,2019,2538
Курская область,регион,2019,6097
Липецкая область,регион,2019,10311
Московская область,регион,2019,115776
Орловская область,регион,2019,3715
Рязанская область,регион,2019,11714
Смоленская область,регион,2019,4792
Тамбовская область,регион,2019,6854
Тверская область,регион,2019,7424
Тульская область,регион,2019,7658
Ярославская область,регион,2019,10396
Город Москва,регион,2019,80317
Северо-Западный федеральный округ,федеральный_округ,2019,166866
Республика Карелия,регион,2019,4173
Республика Коми,регион,2019,3590
Архангельская область,регион,2019,4984
Ненецкий автономный округ,регион,2019,131
Архангельская область (кроме Ненецкого автономного округа),регион,2019,4853
Вологодская область,регион,2019,8875
Калининградская область,регион,2019,14801
Ленинградская область,регион,2019,49884
Мурманская область,регион,2019,437
Новгородская область,регион,2019,3318
Псковская область,регион,2019,4053
Город Санкт-Петербург,регион,2019,72752
Южный федеральный округ,федеральный_округ,2019,136241
Республика Адыгея (Адыгея),регион,2019,4009
Республика Калмыкия,регион,2019,1107
Республика Крым,регион,2019,8075
Краснодарский край,регион,2019,67988
Астраханская область,регион,2019,3607
Волгоградская область,регион,2019,9959
Ростовская область,регион,2019,35229
Город Севастополь,регион,2019,6267
Северо-Кавказский федеральный округ,федеральный_округ,2019,39632
Республика Дагестан,регион,2019,10164
Республика Ингушетия,регион,2019,2697
Кабардино-Балкарская Республика,регион,2019,4220
Карачаево-Черкесская Республика,регион,2019,1881
Республика Северная Осетия-Алания,регион,2019,2737
Чеченская Республика,регион,2019,4518
Ставропольский край,регион,2019,13415
Приволжский федеральный округ,федеральный_округ,2019,211000
Республика Башкортостан,регион,2019,31872
Республика Марий Эл,регион,2019,5745
Республика Мордовия,регион,2019,4452
Республика Татарстан (Татарстан),регион,2019,38505
Удмуртская Республика,регион,2019,10999
Чувашская Республика - Чувашия,регион,2019,10862
Пермский край,регион,2019,16462
Кировская область,регион,2019,7221
Нижегородская область,регион,2019,17329
Оренбургская область,регион,2019,13300
Пензенская область,регион,2019,9397
Самарская область,регион,2019,24577
Саратовская область,регион,2019,11475
Ульяновская область,регион,2019,8803
Уральский федеральный округ,федеральный_округ,2019,94887
Курганская область,регион,2019,2789
Свердловская область,регион,2019,33273
Тюменская область,регион,2019,38698
Ханты-Мансийский автономный округ - Югра,регион,2019,11823
Ямало-Ненецкий автономный округ,регион,2019,2395
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),регион,2019,24480
Челябинская область,регион,2019,20127
Сибирский федеральный округ,федеральный_округ,2019,104574
Республика Алтай,регион,2019,1387
Республика Тыва,регион,2019,1697
Республика Хакасия,регион,2019,2887
Алтайский край,регион,2019,11092
Красноярский край,регион,2019,24757
Иркутская область,регион,2019,13390
Кемеровская область,регион,2019,10609
Новосибирская область,регион,2019,25878
Омская область,регион,2019,6630
Томская область,регион,2019,6246
Дальневосточный федеральный округ,федеральный_округ,2019,35452
Республика Бурятия,регион,2019,3540
Республика Саха (Якутия),регион,2019,9494
Забайкальский край,регион,2019,2734
Камчатский край,регион,2019,592
Приморский край,регион,2019,7001
Хабаровский край,регион,2019,4018
Амурская область,регион,2019,3231
Магаданская область,регион,2019,98
Сахалинская область,регион,2019,4431
Еврейская автономная область,регион,2019,292
Чукотский автономный округ,регион,2019,21
Российская Федерация,страна,2020,1121601
Центральный федеральный округ,федеральный_округ,2020,332942
Белгородская область,регион,2020,11134
Брянская область,регион,2020,5474
Владимирская область,регион,2020,7697
Воронежская область,регион,2020,21322
Ивановская область,регион,2020,3541
Калужская область,регион,2020,9353
Костромская область,регион,2020,2994
Курская область,регион,2020,5663
Липецкая область,регион,2020,9725
Московская область,регион,2020,124006
Орловская область,регион,2020,5740
Рязанская область,регион,2020,8960
Смоленская область,регион,2020,5332
Тамбовская область,регион,2020,5373
Тверская область,регион,2020,8031
Тульская область,регион,2020,9044
Ярославская область,регион,2020,9991
Город Москва,регион,2020,79564
Северо-Западный федеральный округ,федеральный_округ,2020,152942
Республика Карелия,регион,2020,4218
Республика Коми,регион,2020,3459
Архангельская область,регион,2020,5948
Ненецкий автономный округ,регион,2020,329
Архангельская область (кроме Ненецкого автономного округа),регион,2020,5619
Вологодская область,регион,2020,7046
Калининградская область,регион,2020,16491
Ленинградская область,регион,2020,36490
Мурманская область,регион,2020,369
Новгородская область,регион,2020,3417
Псковская область,регион,2020,3600
Город Санкт-Петербург,регион,2020,71904
Южный федеральный округ,федеральный_округ,2020,153196
Республика Адыгея (Адыгея),регион,2020,3836
Республика Калмыкия,регион,2020,968
Республика Крым,регион,2020,8370
Краснодарский край,регион,2020,82221
Астраханская область,регион,2020,3823
Волгоградская область,регион,2020,10611
Ростовская область,регион,2020,36347
Город Севастополь,регион,2020,7020
Северо-Кавказский федеральный округ,федеральный_округ,2020,39237
Республика Дагестан,регион,2020,9835
Республика Ингушетия,регион,2020,1537
Кабардино-Балкарская Республика,регион,2020,5051
Карачаево-Черкесская Республика,регион,2020,864
Республика Северная Осетия-Алания,регион,2020,2950
Чеченская Республика,регион,2020,4794
Ставропольский край,регион,2020,14206
Приволжский федеральный округ,федеральный_округ,2020,197720
Республика Башкортостан,регион,2020,31944
Республика Марий Эл,регион,2020,5495
Республика Мордовия,регион,2020,3812
Республика Татарстан (Татарстан),регион,2020,34559
Удмуртская Республика,регион,2020,11344
Чувашская Республика - Чувашия,регион,2020,8715
Пермский край,регион,2020,17164
Кировская область,регион,2020,6840
Нижегородская область,регион,2020,16596
Оренбургская область,регион,2020,12190
Пензенская область,регион,2020,9889
Самарская область,регион,2020,14775
Саратовская область,регион,2020,13772
Ульяновская область,регион,2020,10625
Уральский федеральный округ,федеральный_округ,2020,99316
Курганская область,регион,2020,2835
Свердловская область,регион,2020,33056
Тюменская область,регион,2020,42238
Ханты-Мансийский автономный округ - Югра,регион,2020,15863
Ямало-Ненецкий автономный округ,регион,2020,2719
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),регион,2020,23656
Челябинская область,регион,2020,21187
Сибирский федеральный округ,федеральный_округ,2020,108713
Республика Алтай,регион,2020,1148
Республика Тыва,регион,2020,1682
Республика Хакасия,регион,2020,3817
Алтайский край,регион,2020,12175
Красноярский край,регион,2020,20285
Иркутская область,регион,2020,15142
Кемеровская область,регион,2020,10429
Новосибирская область,регион,2020,30829
Омская область,регион,2020,7058
Томская область,регион,2020,6148
Дальневосточный федеральный округ,федеральный_округ,2020,37278
Республика Бурятия,регион,2020,4226
Республика Саха (Якутия),регион,2020,8838
Забайкальский край,регион,2020,2171
Камчатский край,регион,2020,905
Приморский край,регион,2020,9458
Хабаровский край,регион,2020,3052
Амурская область,регион,2020,2183
Магаданская область,регион,2020,135
Сахалинская область,регион,2020,6100
Еврейская автономная область,регион,2020,179
Чукотский автономный округ,регион,2020,31
Российская Федерация,страна,2021,1204647
Центральный федеральный округ,федеральный_округ,2021,377229
Белгородская область,регион,2021,10940
Брянская область,регион,2021,5647
Владимирская область,регион,2021,8009
Воронежская область,регион,2021,23411
Ивановская область,регион,2021,2991
Калужская область,регион,2021,10046
Костромская область,регион,2021,3974
Курская область,регион,2021,6635
Липецкая область,регион,2021,11438
Московская область,регион,2021,112572
Орловская область,регион,2021,3320
Рязанская область,регион,2021,10694
Смоленская область,регион,2021,5467
Тамбовская область,регион,2021,5841
Тверская область,регион,2021,8269
Тульская область,регион,2021,9474
Ярославская область,регион,2021,9588
Город Москва,регион,2021,128913
Северо-Западный федеральный округ,федеральный_округ,2021,159919
Республика Карелия,регион,2021,4320
Республика Коми,регион,2021,2462
Архангельская область,регион,2021,6484
Ненецкий автономный округ,регион,2021,200
Архангельская область (кроме Ненецкого автономного округа),регион,2021,6284
Вологодская область,регион,2021,7874
Калининградская область,регион,2021,16766
Ленинградская область,регион,2021,42469
Мурманская область,регион,2021,674
Новгородская область,регион,2021,3523
Псковская область,регион,2021,3674
Город Санкт-Петербург,регион,2021,71673
Южный федеральный округ,федеральный_округ,2021,157122
Республика Адыгея (Адыгея),регион,2021,4056
Республика Калмыкия,регион,2021,1120
Республика Крым,регион,2021,9241
Краснодарский край,регион,2021,86202
Астраханская область,регион,2021,5224
Волгоградская область,регион,2021,11084
Ростовская область,регион,2021,35207
Город Севастополь,регион,2021,4988
Северо-Кавказский федеральный округ,федеральный_округ,2021,46306
Республика Дагестан,регион,2021,10848
Республика Ингушетия,регион,2021,953
Кабардино-Балкарская Республика,регион,2021,5429
Карачаево-Черкесская Республика,регион,2021,1628
Республика Северная Осетия-Алания,регион,2021,3333
Чеченская Республика,регион,2021,7824
Ставропольский край,регион,2021,16291
Приволжский федеральный округ,федеральный_округ,2021,210782
Республика Башкортостан,регион,2021,39002
Республика Марий Эл,регион,2021,4576
Республика Мордовия,регион,2021,4009
Республика Татарстан (Татарстан),регион,2021,32951
Удмуртская Республика,регион,2021,12048
Чувашская Республика - Чувашия,регион,2021,9209
Пермский край,регион,2021,16831
Кировская область,регион,2021,7586
Нижегородская область,регион,2021,16734
Оренбургская область,регион,2021,12822
Пензенская область,регион,2021,9340
Самарская область,регион,2021,21281
Саратовская область,регион,2021,14960
Ульяновская область,регион,2021,9434
Уральский федеральный округ,федеральный_округ,2021,102261
Курганская область,регион,2021,2944
Свердловская область,регион,2021,39081
Тюменская область,регион,2021,39931
Ханты-Мансийский автономный округ - Югра,регион,2021,13514
Ямало-Ненецкий автономный округ,регион,2021,2762
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),регион,2021,23655
Челябинская область,регион,2021,20305
Сибирский федеральный округ,федеральный_округ,2021,109100
Республика Алтай,регион,2021,1830
Республика Тыва,регион,2021,1618
Республика Хакасия,регион,2021,3185
Алтайский край,регион,2021,15172
Красноярский край,регион,2021,18858
Иркутская область,регион,2021,13653
Кемеровская область,регион,2021,10996
Новосибирская область,регион,2021,29935
Омская область,регион,2021,7896
Томская область,регион,2021,5956
Дальневосточный федеральный округ,федеральный_округ,2021,41928
Республика Бурятия,регион,2021,3685
Республика Саха (Якутия),регион,2021,8538
Забайкальский край,регион,2021,2563
Камчатский край,регион,2021,737
Приморский край,регион,2021,11930
Хабаровский край,регион,2021,4211
Амурская область,регион,2021,2754
Магаданская область,регион,2021,181
Сахалинская область,регион,2021,6906
Еврейская автономная область,регион,2021,372
Чукотский автономный округ,регион,2021,52
Российская Федерация,страна,2022,1290006
Центральный федеральный округ,федеральный_округ,2022,409955
Белгородская область,регион,2022,8963
Брянская область,регион,2022,4860
Владимирская область,регион,2022,12174
Воронежская область,регион,2022,24751
Ивановская область,регион,2022,3449
Калужская область,регион,2022,8785
Костромская область,регион,2022,3697
Курская область,регион,2022,5066
Липецкая область,регион,2022,6922
Московская область,регион,2022,162332
Орловская область,регион,2022,4674
Рязанская область,регион,2022,10320
Смоленская область,регион,2022,5618
Тамбовская область,регион,2022,4659
Тверская область,регион,2022,8845
Тульская область,регион,2022,10729
Ярославская область,регион,2022,9646
Город Москва,регион,2022,114466
Северо-Западный федеральный округ,федеральный_округ,2022,173342
Республика Карелия,регион,2022,4197
Республика Коми,регион,2022,2722
Архангельская область,регион,2022,7014
Ненецкий автономный округ,регион,2022,456
Архангельская область (кроме Ненецкого автономного округа),регион,2022,6558
Вологодская область,регион,2022,8463
Калининградская область,регион,2022,16371
Ленинградская область,регион,2022,52269
Мурманская область,регион,2022,4106
Новгородская область,регион,2022,3832
Псковская область,регион,2022,4115
Город Санкт-Петербург,регион,2022,70253
Южный федеральный округ,федеральный_округ,2022,167374
Республика Адыгея (Адыгея),регион,2022,5122
Республика Калмыкия,регион,2022,1155
Республика Крым,регион,2022,9002
Краснодарский край,регион,2022,97182
Астраханская область,регион,2022,5334
Волгоградская область,регион,2022,9335
Ростовская область,регион,2022,34430
Город Севастополь,регион,2022,5813
Северо-Кавказский федеральный округ,федеральный_округ,2022,53238
Республика Дагестан,регион,2022,10147
Республика Ингушетия,регион,2022,1111
Кабардино-Балкарская Республика,регион,2022,5247
Карачаево-Черкесская Республика,регион,2022,2190
Республика Северная Осетия-Алания,регион,2022,3450
Чеченская Республика,регион,2022,13047
Ставропольский край,регион,2022,18046
Приволжский федеральный округ,федеральный_округ,2022,214591
Республика Башкортостан,регион,2022,39626
Республика Марий Эл,регион,2022,4807
Республика Мордовия,регион,2022,3901
Республика Татарстан (Татарстан),регион,2022,32855
Удмуртская Республика,регион,2022,14357
Чувашская Республика - Чувашия,регион,2022,8642
Пермский край,регион,2022,24557
Кировская область,регион,2022,6633
Нижегородская область,регион,2022,18261
Оренбургская область,регион,2022,10598
Пензенская область,регион,2022,9571
Самарская область,регион,2022,20712
Саратовская область,регион,2022,11312
Ульяновская область,регион,2022,8759
Уральский федеральный округ,федеральный_округ,2022,115989
Курганская область,регион,2022,3827
Свердловская область,регион,2022,41912
Тюменская область,регион,2022,47728
Ханты-Мансийский автономный округ - Югра,регион,2022,13488
Ямало-Ненецкий автономный округ,регион,2022,3382
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),регион,2022,30858
Челябинская область,регион,2022,22521
Сибирский федеральный округ,федеральный_округ,2022,107379
Республика Алтай,регион,2022,1966
Республика Тыва,регион,2022,1796
Республика Хакасия,регион,2022,3935
Алтайский край,регион,2022,11974
Красноярский край,регион,2022,19768
Иркутская область,регион,2022,14625
Кемеровская область,регион,2022,10054
Новосибирская область,регион,2022,31589
Омская область,регион,2022,7791
Томская область,регион,2022,3881
Дальневосточный федеральный округ,федеральный_округ,2022,48139
Республика Бурятия,регион,2022,3401
Республика Саха (Якутия),регион,2022,8733
Забайкальский край,регион,2022,3114
Камчатский край,регион,2022,682
Приморский край,регион,2022,14245
Хабаровский край,регион,2022,5048
Амурская область,регион,2022,5270
Магаданская область,регион,2022,183
Сахалинская область,регион,2022,7155
Еврейская автономная область,регион,2022,250
Чукотский автономный округ,регион,2022,58
Российская Федерация,страна,2023,1449404
Центральный федеральный округ,федеральный_округ,2023,425801
Белгородская область,регион,2023,10073
Брянская область,регион,2023,6869
Владимирская область,регион,2023,11018
Воронежская область,регион,2023,25061
Ивановская область,регион,2023,5037
Калужская область,регион,2023,11756
Костромская область,регион,2023,3937
Курская область,регион,2023,6395
Липецкая область,регион,2023,6718
Московская область,регион,2023,152226
Орловская область,регион,2023,4764
Рязанская область,регион,2023,10050
Смоленская область,регион,2023,5673
Тамбовская область,регион,2023,5384
Тверская область,регион,2023,9956
Тульская область,регион,2023,14374
Ярославская область,регион,2023,12620
Город Москва,регион,2023,123890
Северо-Западный федеральный округ,федеральный_округ,2023,189257
Республика Карелия,регион,2023,4539
Республика Коми,регион,2023,3243
Архангельская область,регион,2023,7619
Ненецкий автономный округ,регион,2023,193
Архангельская область (кроме Ненецкого автономного округа),регион,2023,7426
Вологодская область,регион,2023,9879
Калининградская область,регион,2023,14520
Ленинградская область,регион,2023,60884
Мурманская область,регион,2023,664
Новгородская область,регион,2023,4106
Псковская область,регион,2023,4664
Город Санкт-Петербург,регион,2023,79138
Южный федеральный округ,федеральный_округ,2023,185608
Республика Адыгея (Адыгея),регион,2023,7442
Республика Калмыкия,регион,2023,1417
Республика Крым,регион,2023,13248
Краснодарский край,регион,2023,103644
Астраханская область,регион,2023,5325
Волгоградская область,регион,2023,12238
Ростовская область,регион,2023,37443
Город Севастополь,регион,2023,4851
Северо-Кавказский федеральный округ,федеральный_округ,2023,67109
Республика Дагестан,регион,2023,15073
Республика Ингушетия,регион,2023,1335
Кабардино-Балкарская Республика,регион,2023,5413
Карачаево-Черкесская Республика,регион,2023,3176
Республика Северная Осетия-Алания,регион,2023,5409
Чеченская Республика,регион,2023,16898
Ставропольский край,регион,2023,19805
Приволжский федеральный округ,федеральный_округ,2023,253048
Республика Башкортостан,регион,2023,43451
Республика Марий Эл,регион,2023,6664
Республика Мордовия,регион,2023,5050
Республика Татарстан (Татарстан),регион,2023,46872
Удмуртская Республика,регион,2023,18403
Чувашская Республика - Чувашия,регион,2023,9580
Пермский край,регион,2023,23573
Кировская область,регион,2023,7751
Нижегородская область,регион,2023,20635
Оренбургская область,регион,2023,12027
Пензенская область,регион,2023,12330
Самарская область,регион,2023,22725
Саратовская область,регион,2023,13945
Ульяновская область,регион,2023,10041
Уральский федеральный округ,федеральный_округ,2023,133366
Курганская область,регион,2023,4238
Свердловская область,регион,2023,47492
Тюменская область,регион,2023,53939
Ханты-Мансийский автономный округ - Югра,регион,2023,13874
Ямало-Ненецкий автономный округ,регион,2023,5132
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),регион,2023,34933
Челябинская область,регион,2023,27697
Сибирский федеральный округ,федеральный_округ,2023,132361
Республика Алтай,регион,2023,2044
Республика Тыва,регион,2023,2418
Республика Хакасия,регион,2023,4393
Алтайский край,регион,2023,11360
Красноярский край,регион,2023,22201
Иркутская область,регион,2023,17590
Кемеровская область,регион,2023,11057
Новосибирская область,регион,2023,46859
Омская область,регион,2023,7885
Томская область,регион,2023,6554
Дальневосточный федеральный округ,федеральный_округ,2023,62853
Республика Бурятия,регион,2023,5951
Республика Саха (Якутия),регион,2023,11267
Забайкальский край,регион,2023,4794
Камчатский край,регион,2023,947
Приморский край,регион,2023,16953
Хабаровский край,регион,2023,7887
