цена,комнат,площадь,жилая_площадь,площадь_кухни,этаж,этажность_дома,тип_рынка,отделка,регион,станция_метро,минут_до_метро
16627528.0,3.0,67.74,36.4,12.2,2.0,10,Новостройка,Косметический ремонт,Москва,Каширская,4.0
19952863.0,3.0,74.35,39.7,12.8,9.0,10,Новостройка,Евроремонт,Москва,Каширская,4.0
13492206.0,2.0,45.88,25.3,10.4,3.0,10,Новостройка,Косметический ремонт,Москва,Каширская,4.0
16851441.0,2.0,64.11,34.5,11.9,2.0,10,Новостройка,Косметический ремонт,Москва,Каширская,4.0
12315088.0,2.0,44.24,24.5,10.3,4.0,10,Новостройка,Косметический ремонт,Москва,Каширская,4.0
26119876.0,4.0,105.04,55.2,15.3,4.0,10,Новостройка,Евроремонт,Москва,Каширская,4.0
20464662.0,4.0,87.12,46.2,13.8,5.0,10,Новостройка,Евроремонт,Москва,Каширская,4.0
17056433.0,2.0,63.68,34.3,11.9,8.0,10,Новостройка,Косметический ремонт,Москва,Каширская,4.0
26544133.0,4.0,105.04,55.2,15.3,9.0,10,Новостройка,Евроремонт,Москва,Каширская,4.0
12898828.0,2.0,41.47,23.1,10.1,10.0,10,Новостройка,Косметический ремонт,Москва,Каширская,4.0
22331765.0,4.0,87.04,46.1,13.8,2.0,10,Новостройка,Евроремонт,Москва,Каширская,4.0
17354234.0,3.0,63.74,34.4,11.9,3.0,10,Новостройка,Косметический ремонт,Москва,Каширская,4.0
16090600.0,3.0,63.39,34.2,11.9,4.0,10,Новостройка,Косметический ремонт,Москва,Каширская,4.0
19380367.0,3.0,87.9,46.6,13.9,9.0,15,Новостройка,Евроремонт,Москва,Варшавская,6.0
17737498.0,3.0,74.71,39.9,12.8,4.0,15,Новостройка,Евроремонт,Москва,Варшавская,6.0
12851218.0,2.0,47.46,26.1,10.6,5.0,15,Новостройка,Косметический ремонт,Москва,Варшавская,6.0
17012998.0,3.0,70.92,38.0,12.5,5.0,15,Новостройка,Косметический ремонт,Москва,Варшавская,6.0
12888522.0,2.0,47.46,26.1,10.6,6.0,15,Новостройка,Косметический ремонт,Москва,Варшавская,6.0
17168383.0,3.0,69.74,37.4,12.4,9.0,15,Новостройка,Косметический ремонт,Москва,Варшавская,6.0
